"OriginalOrder","ID","Name","Grade","Value"
"1068","17835","""Ricky Gervais""","0.8038329000000001","1"
"1069","55493","""Brady Corbet""","0.305","1"
"1070","60459","""Soren Fulton""","0.28283637","1"
"1071","49346","""Debora Weston""","0.28283637","1"
"1072","38225","""Cher""","0.89519773","1"
"1073","53397","""Christina Aguilera""","0.89519773","1"
"1074","16790","""Gaspard Ulliel""","0.82169884","1"
"1075","2413","""Dominique Pinon""","0.7659999999999999","1"
"1076","2091","""James Mason""","0.282","1"
"1077","12445","""Sue Lyon""","0.0925","1"
"1078","7632","""Shelley Winters""","0.0925","1"
"1079","24047","""Courtney B. Vance""","0.24100000000000002","1"
"1080","13022","""Tom Berenger""","1.38530565","1"
"1081","70304","""Sarah Jane Morris""","1.68167691","1"
"1082","164945","""Sarah Shahi""","0.30551495","1"
"1083","1271","""Andy Garceda""","1.49281606","1"
"1086","11864","""Ryan Phillippe""","1.25586134","1"
"1087","17772","""Jesse Bradford""","0.90449929","1"
"1088","17782","""Colm Meaney""","1.26690726","1"
"1089","20494","""Zoe Bell""","0.25037897","1"
"1092","52052","""Jessica Simpson""","1.10803676","1"
"1093","7621","""Courtney Love""","0.4743443","1"
"1094","25336","""Bob Zmuda""","0.4743443","1"
"1095","1244","""Jonathan Rhys Meyers""","0.85306374","1"
"1096","120832","""Kasia Smutniak""","0.52826594","1"
"1097","5915","""Jaime King""","1.13086475","1"
"1098","10841","""Karel Roden""","0.377","1"
"1099","21134","""John Slattery""","1.27869379","1"
"1103","17696","""Kathryn Hahn""","1.83936074","1"
"1109","21043","""Dylan Walsh""","1.52022101","1"
"1110","8874","""Ernie Hudson""","1.52022101","1"
"1111","77334","""Chandler Canterbury""","1.55446362","1"
"1112","1284159","""Simon Baker""","1.61451538","1"
"1115","1285","""AnnaSophia Robb""","1.37587063","1"
"1116","23498","""Alexander Ludwig""","1.06303988","1"
"1117","49734","""Fann Wong""","0.88323487","1"
"1118","49265","""Lindsay Lohan""","1.29042871","1"
"1119","15533","""Olivier Martinez""","1.19137784","1"
"1120","61363","""Alex Pettyfer""","1.67221571","1"
"1121","18473","""James Badge Dale""","0.6941137","1"
"1122","8688","""Diego Luna""","0.97437106","1"
"1123","12519","""Virginia Madsen""","1.09502303","1"
"1124","13549","""Deborah Kara Unger""","1.09423648","1"
"1125","35980","""Brooke Langton""","0.501","1"
"1126","86468","""Sarah Wayne Callies""","1.60602194","1"
"1127","59841","""Matt Walsh""","1.60602194","1"
"1129","1210","""Hector Elizondo""","1.19208989","1"
"1130","16170","""Zach Galligan""","1.53083102","1"
"1131","16171","""Phoebe Cates""","1.53083102","1"
"1133","15320","""Marcel Iure""","1.104","1"
"1134","18041","""Oded Fehr""","1.48412065","1"
"1135","6720","""Joan Chen""","0.49","1"
"1136","84517","""Taylor Dooley""","0.69425966","1"
"1137","4741","""Cayden Boyd""","0.69425966","1"
"1138","19866","""Guillaume Canet""","1.44056873","1"
"1140","112013","""Rain""","0.60462347","1"
"1141","2038","""Naomie Harris""","1.83474602","1"
"1142","23346","""Armand Assante""","1.13309743","1"
"1143","41798","""George Lopez""","0.83761844","1"
"1144","142365","""George McLaren""","1.05197635","1"
"1145","21343","""Ben Chaplin""","0.56714147","1"
"1146","16789","""Aaran Thomas""","0.82169884","1"
"1147","3026","""Rob Reiner""","0.58900031","1"
"1148","36592","""Saoirse Ronan""","0.63782078","1"
"1149","105727","""Jake Abel""","0.63327201","1"
"1150","20738","""Song Kang-ho""","0.86758912","1"
"1151","21687","""Park Hae-il""","0.63327201","1"
"1152","21688","""Bae Doona""","0.63327201","1"
"1154","12647","""Armin Mueller-Stahl""","0.60161391","1"
"1155","825","""Stacy Keach""","1.64","1"
"1156","116027","""Eli Marienthal""","0.23159305","1"
"1157","1216606","""Gugu Mbatha-Raw""","0.25035949999999996","1"
"1158","932967","""Mahershala Ali""","0.25035949999999996","1"
"1159","5726","""Cedric the Entertainer""","0.75781642","1"
"1160","37936","""Christina Milian""","0.29907685","1"
"1162","1894","""Scott Caan""","0.44434439","1"
"1163","6450","""Faye Dunaway""","0.66976317","1"
"1164","18658","""Mia Kirshner""","0.10541523","1"
"1165","3266","""Joe Mantegna""","0.16671505","1"
"1166","6684","""Lara Flynn Boyle""","0.266","1"
"1168","16560","""David Caruso""","0.149","1"
"1169","9046","""Chazz Palminteri""","0.7120000000000001","1"
"1170","53820","""Michael C. Hall""","0.4082854","1"
"1171","71375","""Alden Ehrenreich""","0.63647656","1"
"1172","587823","""Alice Englert""","0.60052138","1"
